"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","833","Проверка перехода на странице Your Cart при клике на кнопку Cancel","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkTransitionFromCancelButton"
"","863","Проверка перехода на страницу Product через clickAllItems","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAllItemsMenu"
"","1537","Проверка перехода по кнопке Back Home со страницы Checkout Completed","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutCompleteTest","Regression","tests.CheckoutCompleteTest","checkTransitionByBackHomeButton"
"","512","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","508","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","1012","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","4464","Проверка перехода на About Page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAboutPage"
"","576","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","843","Проверка перехода на страницу Product при клике на кнопку Continue Shopping","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.YourCartTest","Regression","tests.YourCartTest","continueShoppingButtonClick"
"","998","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","1050","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","3364","Проверка logout для зарегистрированного пользователя","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkLogout"
