"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","473","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","793","Проверка перехода на странице Your Cart при клике на кнопку Cancel","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkTransitionFromCancelButton"
"","1465","Проверка перехода по кнопке Back Home со страницы Checkout Completed","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutCompleteTest","Regression","tests.CheckoutCompleteTest","checkTransitionByBackHomeButton"
"","819","Проверка перехода на страницу Product через clickAllItems","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAllItemsMenu"
"","3363","Проверка logout для зарегистрированного пользователя","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkLogout"
"","985","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","4804","Проверка перехода на About Page","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.BurgerMenuTest","Regression","tests.BurgerMenuTest","checkTransitionToAboutPage"
"","974","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
"","753","Проверка перехода на страницу Product при клике на кнопку Continue Shopping","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.YourCartTest","Regression","tests.YourCartTest","continueShoppingButtonClick"
"","481","Проверка логина по негативным сценариям","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Regression","tests.LoginTest","chekLoginWithNegativeCred"
"","1007","Негативные сценарии для страницу Checkout Your Information","SauceDemo suite","2026-06-10","passed","2026-06-10","tests.CheckoutYourInformationTest","Regression","tests.CheckoutYourInformationTest","checkCheckoutYourInformationWithEmptyZipCode1"
